prop,anthraks,hpai,brucelosis,rabies,jembrana,lpai,csf,asf,lsd,pmk,lainnya
Bali,,,,114,,,,,,,238
Banten,,338,,,,,,193,,,1
Bengkulu,,,,3,187,,,,,,
Di Yogyakarta,7,19,,,,,,9,,,
Dki Jakarta,,,29,,,,,,,,2
Gorontalo,4,13,,,,,,,,,46
Jambi,,,1,17,23,,,6,,,6
Jawa Barat,,3168,52,4,,,,39,,,221
Jawa Tengah,,1244,31,,,50,,26,,,5
Jawa Timur,,1537,7,,,,,,,,615
Kalimantan Barat,,,,3,,100,,,,,638
Kalimantan Selatan,,,4,5,,198,,,,,1
Kalimantan Tengah,,,4,10,,,,,,,456
Kalimantan Timur,,412,109,2,26,76,,,,,
Kalimantan Utara,,37,,,,,,,,,12
Kepulauan Riau,,,,,,,,,,,591
Lampung,,155,,3,,,,564,,,
Nusa Tenggara Barat,,,,92,,,,,,,2
Nusa Tenggara Timur,,,2,29,,,645,1607,,,3949
Riau,,,12,50,80,,,74,,,146
Sulawesi Barat,,3,3,3,,,,,,,61
Sulawesi Tengah,,,2,157,,,4,,,,9428
Sulawesi Utara,,,,102,,,,,,,
Sumatera Barat,,,1,34,4,5,,6,,,19
Sumatera Selatan,,50,,,4,,,1098,,,1836
Sumatera Utara,,,7,42,84,79,70,73413,,,12659
